batch_timestamp,machine,dataset,group,n_rows,n_train,n_test,n_features,k,algorithm,run,time_seconds,accuracy_pct
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,1,0.019122609999612905,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,2,0.0005546479997065035,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,3,0.00045839600079489173,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,4,0.0007490130001315265,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,5,0.0005162229999768897,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,6,0.0008440599995083176,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,7,0.000713876000190794,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,8,0.0007361620000665425,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,9,0.0006579360006071511,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_brute,10,0.0006474760002674884,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,1,0.002036416999544599,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,2,0.0008323049996761256,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,3,0.0007693830002608593,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,4,0.0007779380002830294,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,5,0.0007389230004264391,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,6,0.0007625819998793304,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,7,0.0007330979997277609,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,8,0.0007533489997513243,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,9,0.000731491999431455,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,sklearn_kdtree,10,0.0007474859994545113,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,kdtree_build,0,1.3206e-05,
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,brute_simd,1,0.000564836,70.0
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,kdtree_simd,1,0.000256426,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,brute_simd,2,0.000214832,70.0
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,kdtree_simd,2,0.000248766,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,brute_simd,3,0.000235318,70.0
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,kdtree_simd,3,0.000229094,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,brute_simd,4,0.000235519,70.0
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,kdtree_simd,4,0.000202491,55.00000000000001
20260327_113737,ECS-CSH-308-18,aapl_100,aapl_scaling,100,80,20,16,5,brute_simd,5,8.891e-06,70.0
